Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
battlefront-plastic-bases-rural,Battlefront: Plastic Bases - Rural,"<p data-mce-fragment=""1"">The new plastic rural bases make basing an infantry army for Flames Of War a breeze. The new bases are ideal for any force fighting in Europe (or anywhere else with dirt and trees!). The Studio team have been looking forward to the release of these bases for a very long time and are excited to add another set of pre-sculpted bases to the range.</p>
<p data-mce-fragment=""1"">Frame A of the plastic rural bases contains the majority of the bases and has two distinct themes. There are also a number of different style plugs to use in case you want fill in some of the figure recesses on a base depending your basing needs i.e. number of figures on a base or if you want to use a specific base for a specific purpose.</p>
<p data-mce-fragment=""1"">Frame B contains bases and accessories that give you even more flexibility for basing your force. It includes bases with figure recesses for prone infantry figures and plenty of different plugs that allow you to personalize your infantry bases however you like. Accessories such as tree stumps and fences will allow you infantry bases to really stand out on the table.</p>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,XX107,170.09713875,shopify,2,deny,manual,21.99,,true,true,'9420020219724,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_7329463d-3fed-4429-903a-00acee002b01.jpg?v=1606172912,1,,false,,,,,,,,,,,,,,,,,oz,,12.10,active
battlefront-plastic-bases-rubble,Battlefront: Plastic Bases - Rubble,"<span data-mce-fragment=""1"">Contains 12 small and 16 medium bases, individually sculpted and themed.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,XX106,170.09713875,shopify,2,deny,manual,21.99,,true,true,'9420020217256,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_a3b195e0-bcef-474b-b59a-be8e9225764d.jpg?v=1606172801,1,,false,,,,,,,,,,,,,,,,,oz,,12.10,active
gale-force-nine-10-piece-detail-file-set,Gale Force Nine - 10-Piece Detail File Set,This file set is perfect for anyone needing to make their miniatures perfect. This 10-piece set almost guarantees that you will find exactly what you need for your next filing project.,Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFT039,141.747615625,shopify,0,deny,manual,14.99,,true,true,'9420020250666,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image_1d3ae9bf-320f-4083-a9ac-1bb7bb148fd5.png?v=1606172686,1,,false,,,,,,,,,,,,,,,,,oz,,8.25,active
gale-force-nine-hobby-knife,Gale Force Nine - Hobby Knife,"<span data-mce-fragment=""1"">This high-quality hobby knife, emblazoned with the Gale Force Nine logo is perfect for all of your hobby needs. Whether its cleaning mould lines or cutting plastic bits, this hobby knife will do the job! Includes five extra blades.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFT026,85.048569375,shopify,0,deny,manual,5.99,,true,true,'8780540008088,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_7cac3e34-7088-4bd0-aab7-cb5bea310451.jpg?v=1606172405,1,,false,,,,,,,,,,,,,,,,,oz,,3.29,active
gale-force-nine-tape-measurer,Gale Force Nine - Tape Measurer,"Gale Force Nine’s hobby tool range provides the miniature modeler, collector and gamer with all of the indispensable tools and supplies needed for every project.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">From basic assembly and cleaning of your new miniatures to master level conversions, our range has the tool that’s right for you! Never before has a hobby tool range combined such versatility, quality and affordable prices.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">The GF9 measuring tape has both metric and imperial measures and is contoured for ultimate comfort in the hand.",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFT023,170.09713875,shopify,2,deny,manual,5.99,,true,true,'9420020231078,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_d3dd866c-4a12-42e0-8015-0c52385aecf2.jpg?v=1606172281,1,,false,,,,,,,,,,,,,,,,,oz,,3.29,active
gale-force-nine-sculpting-tools-introductory,Gale Force Nine: Sculpting Tools - Introductory,"<span data-mce-fragment=""1"">This set is great for the beginning sculptor. Wither its filling gaps while assembling your model or sculpting a new addition to your miniature, you'll find the right tool for the job in this affordable set. This set contains three stainless steel tools.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFT020,141.747615625,shopify,2,deny,manual,11.99,,true,true,'8780540007784,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image_8f7d3a5b-5432-4b90-bbff-ad589d213934.png?v=1606172167,1,,false,,,,,,,,,,,,,,,,,oz,,6.59,active
gale-force-nine-precision-sidecutter-flush-cutter,Gale Force Nine - Precision Sidecutter (Flush Cutter),"<span data-mce-fragment=""1"">These precision cutters are strong enough to cut a metal model in two. Perfect for quick conversion work or cutting parts off the sprue.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFT016,85.048569375,shopify,2,deny,manual,14.99,,true,true,'8780540007302,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image_2256b2b1-97b2-4044-b817-54084410d4eb.png?v=1606171954,1,,false,,,,,,,,,,,,,,,,,oz,,8.24,active
gale-force-nine-plastic-sidecutter-flush-cutter,Gale Force Nine - Plastic Sidecutter (Flush cutter),"<span data-mce-fragment=""1"">These durable flush cutter's are perfect for clipping plastic model parts off the sprue or cutting unwanted plastic bits off your miniature. </span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFT015,85.048569375,shopify,0,deny,manual,11.99,,true,true,'8780540007470,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_9867fc53-12b8-4c85-9904-cab8940c018b.jpg?v=1606171795,1,,false,,,,,,,,,,,,,,,,,oz,,6.59,active
gale-force-nine-hobby-round-three-strand-rope,Gale Force Nine: Hobby Round - Three Strand Rope,"<span data-mce-fragment=""1"">The use of ropes dates back to prehistoric times, and is still in use today. No matter what time period your wargaming is taking place, whether it’s on sea or land, you’re bound to find a use for these lengths of rope.</span>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFS106,113.3980925,shopify,2,deny,manual,4.99,,true,true,'9420020221369,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1_df8cdb36-3751-4500-a058-47bded0cc808.jpg?v=1606171649,1,,false,,,,,,,,,,,,,,,,,oz,,2.75,active
gale-force-nine-hobby-round-braided-iron-cable,Gale Force Nine: Hobby Round - Braided Iron Cable,"<p data-mce-fragment=""1"">Great for use as electrical cable, power conduits, road construction or other similar scenery or decoration item in any 15-30mm scale miniatures diorama or on a similar scale figure model or base.</p>
<p data-mce-fragment=""1"">Contains 2 metres / 6 feet of 1.0mm Braided Iron Cable.</p>",Battlefront Miniatures,Tabletop Gaming,AHG,true,Title,Default Title,,,,,GFS105,113.3980925,shopify,1,deny,manual,4.99,,true,true,'9420020221352,https://cdn.shopify.com/s/files/1/0051/4218/3985/products/image1.png?v=1606171451,1,,false,,,,,,,,,,,,,,,,,oz,,2.75,active
